"Date","Price","Open","High","Low","Vol.","Change %"
"29-04-2026","778.40","785.50","789.25","777.50","25.80M","-0.53%"
"28-04-2026","782.55","785.00","794.50","778.30","35.37M","-0.92%"
"27-04-2026","789.80","787.50","793.00","785.00","18.12M","0.63%"
"24-04-2026","784.85","777.30","787.60","777.00","27.72M","0.06%"
"23-04-2026","784.35","792.00","796.65","782.50","37.68M","-1.94%"
"22-04-2026","799.90","810.00","813.05","798.00","23.88M","-1.46%"
"21-04-2026","811.75","795.20","814.90","795.20","49.14M","2.05%"
"20-04-2026","795.45","797.10","809.95","790.00","52.15M","-0.56%"
"17-04-2026","799.90","790.10","803.95","788.20","37.28M","0.56%"
"16-04-2026","795.45","818.00","820.05","792.20","62.86M","-1.78%"
"15-04-2026","809.90","804.95","814.80","804.00","39.77M","1.91%"
"13-04-2026","794.70","791.50","798.50","787.35","47.55M","-1.93%"
"10-04-2026","810.30","804.00","812.25","801.00","38.16M","1.58%"
"09-04-2026","797.70","815.00","819.00","793.10","48.88M","-2.25%"
"08-04-2026","816.10","800.00","817.80","796.00","70.27M","5.71%"
"07-04-2026","772.00","766.00","774.00","761.00","51.31M","0.13%"
"06-04-2026","771.00","759.00","772.75","745.00","42.98M","2.68%"
"02-04-2026","750.90","730.00","755.00","726.65","49.31M","1.17%"
"01-04-2026","742.25","743.00","755.90","739.10","78.86M","1.46%"
"30-03-2026","731.55","745.20","751.00","726.65","103.50M","-3.26%"
"27-03-2026","756.20","773.20","774.90","754.55","65.49M","-3.34%"
"25-03-2026","782.30","768.20","794.80","768.20","59.23M","2.27%"
"24-03-2026","764.90","755.00","772.75","747.70","61.27M","2.79%"
"23-03-2026","744.15","763.15","768.70","741.05","72.34M","-4.65%"
"20-03-2026","780.45","785.00","793.75","778.20","103.13M","-2.22%"
"19-03-2026","798.20","770.00","815.65","770.00","171.64M","-5.32%"
"18-03-2026","843.05","845.35","846.80","831.60","23.51M","-0.27%"
"17-03-2026","845.35","847.70","848.90","835.10","38.83M","0.57%"
"16-03-2026","840.60","817.00","844.50","815.65","52.18M","2.89%"
"13-03-2026","817.00","820.00","823.80","812.00","41.70M","-1.89%"
"12-03-2026","832.75","820.10","836.40","820.10","46.11M","-0.14%"
"11-03-2026","833.95","845.00","848.85","827.60","42.26M","-1.82%"
"10-03-2026","849.45","850.05","856.80","840.60","52.87M","1.04%"
"09-03-2026","840.70","825.00","842.45","821.50","35.59M","-1.91%"
"06-03-2026","857.05","868.05","871.70","855.10","34.44M","-2.36%"
"05-03-2026","877.75","873.85","881.40","863.50","31.32M","1.05%"
"04-03-2026","868.65","848.00","879.30","848.00","39.86M","-1.22%"
"02-03-2026","879.40","876.20","887.75","871.55","38.38M","-0.94%"
"27-02-2026","887.75","898.60","898.95","885.00","34.62M","-1.21%"
"26-02-2026","898.60","912.00","912.00","895.00","41.17M","-0.99%"
"25-02-2026","907.60","910.55","916.00","903.10","27.88M","-0.32%"
"24-02-2026","910.50","927.95","927.95","909.15","31.31M","-1.42%"
"23-02-2026","923.60","916.50","925.65","915.25","23.27M","1.29%"
"20-02-2026","911.85","911.00","917.85","908.40","22.65M","-0.41%"
"19-02-2026","915.60","929.00","929.20","912.45","21.21M","-0.98%"
"18-02-2026","924.70","923.20","925.50","919.55","12.74M","-0.11%"
"17-02-2026","925.70","923.00","928.10","918.60","22.60M","-0.01%"
"16-02-2026","925.80","903.90","929.50","902.10","18.81M","2.42%"
"13-02-2026","903.90","913.00","928.20","901.00","50.19M","-1.81%"
"12-02-2026","920.60","927.00","928.60","918.50","33.87M","-0.70%"
"11-02-2026","927.10","931.25","936.00","925.30","24.87M","-0.57%"
"10-02-2026","932.40","930.00","940.90","929.95","31.53M","-0.52%"
"09-02-2026","937.25","945.00","950.00","935.35","23.95M","-0.41%"
"06-02-2026","941.10","945.00","948.10","937.60","18.12M","-0.91%"
"05-02-2026","949.70","956.00","956.05","946.70","28.10M","-0.36%"
"04-02-2026","953.10","952.50","957.20","947.95","24.37M","0.46%"
"03-02-2026","948.70","983.75","994.00","945.00","50.34M","2.22%"
"02-02-2026","928.10","915.00","929.80","909.30","28.03M","0.65%"
"01-02-2026","922.10","932.00","939.65","912.65","9.86M","-0.77%"
"30-01-2026","929.25","930.00","938.90","927.75","29.69M","-0.67%"
"29-01-2026","935.50","930.10","939.30","924.35","37.18M","0.30%"
"28-01-2026","932.70","932.50","941.45","928.40","35.35M","0.68%"
"27-01-2026","926.40","906.00","931.20","905.00","44.75M","1.12%"
"23-01-2026","916.10","920.00","926.10","909.25","30.99M","-0.28%"
"22-01-2026","918.70","928.00","928.30","913.20","44.44M","-0.18%"
"21-01-2026","920.35","925.00","932.15","915.50","32.77M","-1.17%"
"20-01-2026","931.20","929.30","934.50","919.60","36.02M","0.36%"
"19-01-2026","927.90","935.90","936.15","919.50","38.19M","-0.34%"
"16-01-2026","931.10","922.00","935.95","919.20","37.78M","0.61%"
"14-01-2026","925.45","930.00","940.05","920.20","36.69M","-1.27%"
"13-01-2026","937.35","947.70","947.70","932.60","32.04M","0.04%"
"12-01-2026","936.95","937.50","942.00","929.60","21.07M","-0.22%"
"09-01-2026","939.00","945.00","950.60","933.30","38.18M","-0.81%"
"08-01-2026","946.70","944.70","953.00","941.40","21.93M","-0.25%"
"07-01-2026","949.05","956.00","956.45","946.00","52.88M","-1.37%"
"06-01-2026","962.20","962.70","966.70","956.00","31.99M","-1.57%"
"05-01-2026","977.50","1,005.75","1,006.40","976.30","27.65M","-2.41%"
"02-01-2026","1,001.60","991.15","1,003.20","988.80","11.75M","1.05%"
