"Date","Price","Open","High","Low","Vol.","Change %"
"28-04-2026","429.25","424.57","429.92","421.90","30.44M","1.04%"
"27-04-2026","424.82","422.38","427.11","417.07","30.87M","0.05%"
"24-04-2026","424.62","416.97","424.95","415.80","27.46M","2.13%"
"23-04-2026","415.75","419.89","423.66","411.41","38.31M","-3.97%"
"22-04-2026","432.92","426.18","433.70","423.67","29.38M","2.07%"
"21-04-2026","424.16","420.24","427.18","417.20","32.05M","1.46%"
"20-04-2026","418.07","421.14","423.33","416.30","27.58M","-1.12%"
"17-04-2026","422.79","424.82","431.58","420.69","48.57M","0.60%"
"16-04-2026","420.26","419.86","420.82","412.14","41.64M","2.20%"
"15-04-2026","411.22","398.00","414.37","396.73","45.06M","4.61%"
"14-04-2026","393.11","387.92","394.69","386.52","37.50M","2.27%"
"13-04-2026","384.37","373.61","384.54","371.02","35.75M","3.64%"
"10-04-2026","370.87","372.98","375.64","370.03","28.11M","-0.59%"
"09-04-2026","373.07","372.50","373.50","367.05","30.44M","-0.34%"
"08-04-2026","374.33","384.98","385.00","371.41","33.06M","0.55%"
"07-04-2026","372.29","370.34","372.45","366.56","21.44M","-0.16%"
"06-04-2026","372.88","373.49","373.73","369.50","16.15M","-0.16%"
"02-04-2026","373.46","367.20","373.64","364.15","24.10M","1.11%"
"01-04-2026","369.37","373.49","373.99","368.20","29.42M","-0.22%"
"31-03-2026","370.17","364.55","372.90","363.07","45.24M","3.12%"
"30-03-2026","358.96","361.89","365.36","356.28","44.80M","0.61%"
