"Date","Price","Open","High","Low","Vol.","Change %"
"29-04-2026","1,430.00","1,392.00","1,432.10","1,392.00","30.54M","2.96%"
"28-04-2026","1,388.90","1,358.00","1,395.20","1,357.00","41.03M","1.69%"
"27-04-2026","1,365.80","1,313.00","1,371.60","1,311.00","24.67M","2.86%"
"24-04-2026","1,327.80","1,340.00","1,345.90","1,325.00","11.74M","-1.16%"
"23-04-2026","1,343.40","1,346.00","1,355.50","1,340.70","16.39M","-1.37%"
"22-04-2026","1,362.10","1,350.30","1,366.00","1,349.10","9.53M","0.65%"
"21-04-2026","1,353.30","1,359.00","1,369.80","1,350.10","27.29M","-0.73%"
"20-04-2026","1,363.30","1,363.20","1,373.00","1,352.80","13.61M","-0.12%"
"17-04-2026","1,365.00","1,340.00","1,368.40","1,340.00","13.87M","1.62%"
"16-04-2026","1,343.30","1,352.00","1,353.80","1,330.00","30.21M","-0.06%"
"15-04-2026","1,344.10","1,337.00","1,347.00","1,334.20","15.31M","2.21%"
"13-04-2026","1,315.10","1,321.20","1,327.60","1,310.00","28.75M","-2.60%"
"10-04-2026","1,350.20","1,337.00","1,352.30","1,331.50","19.36M","1.52%"
"09-04-2026","1,330.00","1,346.00","1,350.00","1,326.30","20.73M","-1.32%"
"08-04-2026","1,347.80","1,349.00","1,350.60","1,326.20","21.82M","3.31%"
"07-04-2026","1,304.60","1,295.00","1,308.30","1,291.00","28.39M","-0.01%"
"06-04-2026","1,304.70","1,359.00","1,359.00","1,290.00","29.27M","-3.39%"
"02-04-2026","1,350.50","1,357.00","1,358.20","1,328.00","21.28M","-1.37%"
"01-04-2026","1,369.20","1,384.20","1,384.40","1,362.90","14.40M","1.88%"
"30-03-2026","1,343.90","1,335.00","1,365.00","1,334.10","24.39M","-0.31%"
