"Date","Price","Open","High","Low","Vol.","Change %"
"29-04-2026","2,465.00","2,451.00","2,487.50","2,447.60","2.84M","0.83%"
"28-04-2026","2,444.70","2,444.00","2,487.00","2,427.40","4.51M","-0.12%"
"27-04-2026","2,447.60","2,396.90","2,459.00","2,396.90","5.85M","2.12%"
"24-04-2026","2,396.90","2,488.00","2,505.00","2,388.80","5.11M","-4.95%"
"23-04-2026","2,521.80","2,529.00","2,559.50","2,516.30","2.51M","-0.66%"
"22-04-2026","2,538.50","2,580.00","2,580.00","2,503.60","5.23M","-2.76%"
"21-04-2026","2,610.50","2,560.00","2,614.00","2,560.00","2.72M","1.20%"
"20-04-2026","2,579.60","2,587.10","2,594.00","2,561.20","2.29M","-0.07%"
"17-04-2026","2,581.50","2,570.00","2,589.00","2,555.90","2.72M","0.18%"
"16-04-2026","2,576.90","2,572.00","2,594.00","2,558.00","3.91M","0.86%"
"15-04-2026","2,554.90","2,501.90","2,559.00","2,493.40","5.26M","3.33%"
"13-04-2026","2,472.60","2,489.90","2,504.90","2,470.00","3.74M","-2.05%"
"10-04-2026","2,524.30","2,565.80","2,565.80","2,501.10","10.48M","-2.50%"
"09-04-2026","2,589.00","2,554.00","2,605.00","2,531.10","5.63M","1.16%"
"08-04-2026","2,559.20","2,572.00","2,580.30","2,540.10","4.77M","0.76%"
"07-04-2026","2,539.80","2,461.00","2,543.90","2,448.00","4.52M","2.66%"
"06-04-2026","2,473.90","2,474.00","2,482.00","2,448.20","2.57M","0.95%"
"02-04-2026","2,450.70","2,386.00","2,469.90","2,375.70","5.38M","1.76%"
"01-04-2026","2,408.20","2,429.00","2,472.00","2,397.90","4.13M","2.09%"
"30-03-2026","2,358.90","2,375.10","2,398.00","2,346.20","6.80M","-1.29%"
